record_id,tool_name,vendor,product,version,control_domain,control_objective,current_control_id,current_control_name,framework_alignment,deployment_scope,environment,coverage_level,effectiveness_score,operational_status,annual_cost_usd,utilization_percent,license_count,eol_date,notes
TM-0205,PAM and PRA,BeyondTrust,PAM and PRA from BeyondTrust,v1,Identity,Identity and privileged access controls for PAM and PRA,PR.AA,Identity and Access Management,CIS-v8.1,HQ + Branches,Hybrid,Partial,82.5,Under Review,121017,97,5945,,
TM-0206,DAM,IBM,DAM from IBM,v3,Data,Data security and application protection with DAM,PR.DS,Data Security,NIST-CSF-2.0;CIS-v8.1,BU-specific,Hybrid,Covered,44,Active,178355,53,1636,,
TM-0207,Patch Management,Ivanti,Patch Management from Ivanti,v2,Endpoint,Endpoint protection and workload hardening using Patch Management,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,On-Prem,Covered,56.7,Active,202239,68,17444,,
TM-0208,Password Policy Enforcement,Nfront,Password Policy Enforcement from Nfront,Latest,Identity,Identity and privileged access controls for Password Policy Enforcement,PR.AA,Identity and Access Management,NIST-CSF-2.0,BU-specific,On-Prem,Covered,68.9,Active,138357,89,3711,,
TM-0209,Digital Risk Protection,Group IB,Digital Risk Protection from Group IB,Latest,SOC,"Monitoring, detection, and response control coverage via Digital Risk Protection",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,HQ + Branches,On-Prem,Partial,43.4,Active,188154,75,23064,,
TM-0210,Network Packet Broker,Keysight,Network Packet Broker from Keysight,v3,Network,Network boundary and segmentation controls enabled by Network Packet Broker,CIS-12,Network Infrastructure Management,NIST-CSF-2.0,Regional,Production,Covered,77.4,Active,452904,46,19071,,
TM-0211,Data Privacy,BigID,Data Privacy from BigID,v2,SOC,"Monitoring, detection, and response control coverage via Data Privacy",DE.CM,Security Continuous Monitoring,CIS-v8.1,Regional,Cloud,Covered,92.3,Active,184346,81,18702,,
TM-0212,DLP,Digital Guardian,DLP from Digital Guardian,Latest,SOC,"Monitoring, detection, and response control coverage via DLP",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Regional,On-Prem,Missing,69.8,Under Review,238869,68,9058,,
TM-0213,EPP,Symantec,EPP from Symantec,v3,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,CIS-v8.1,HQ + Branches,On-Prem,Covered,96.8,Active,313214,92,9343,,
TM-0214,WAF,Array Networks,WAF from Array Networks,Latest,Network,Network boundary and segmentation controls enabled by WAF,CIS-12,Network Infrastructure Management,NIST-CSF-2.0,Regional,Hybrid,Covered,69.9,Active,400524,53,5001,,
TM-0215,GRC,Whitehats,GRC from Whitehats,v2,Data,Data security and application protection with GRC,PR.DS,Data Security,CIS-v8.1,Regional,On-Prem,Partial,94.4,Active,321527,65,18122,,
TM-0216,DLP,McAfee,DLP from McAfee,Latest,SOC,"Monitoring, detection, and response control coverage via DLP",DE.CM,Security Continuous Monitoring,CIS-v8.1,Regional,Cloud,Covered,80.4,Active,392233,69,16088,,
TM-0217,Password Policy Enforcement,Netwrix,Password Policy Enforcement from Netwrix,v1,Identity,Identity and privileged access controls for Password Policy Enforcement,PR.AA,Identity and Access Management,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Production,Missing,77.1,Under Review,176421,88,5878,,
TM-0218,SSO,Imprivata,SSO from Imprivata,v2,SOC,"Monitoring, detection, and response control coverage via SSO",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Regional,On-Prem,Covered,73.9,Active,306324,65,12257,,
TM-0219,VPN,Pulse Secure,VPN from Pulse Secure,v1,SOC,"Monitoring, detection, and response control coverage via VPN",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Production,Covered,80.5,Active,211992,66,17482,,
TM-0220,EPP,SentinelOne,EPP from SentinelOne,Latest,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,NIST-CSF-2.0,Enterprise-wide,Production,Partial,50.2,Active,171085,57,19898,,
TM-0221,Firewalls,Fortinet,Firewalls from Fortinet,v1,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,CIS-v8.1,HQ + Branches,On-Prem,Partial,97.4,Active,388258,88,16384,,
TM-0222,FortiAnalyzer,Unknown Vendor,FortiAnalyzer,v1,SOC,"Monitoring, detection, and response control coverage via FortiAnalyzer",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,HQ + Branches,On-Prem,Covered,65,Active,331013,40,21151,,
TM-0223,Email Security,Barracuda,Email Security from Barracuda,v3,Email,Email threat prevention and response via Email Security,CIS-9,Email and Web Browser Protections,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Production,Covered,91.8,Active,123580,52,23113,,
TM-0224,Firewalls,Fortinet,Firewalls from Fortinet and Palo Alto,v3,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Hybrid,Missing,54.8,Planned,355179,82,17852,,
TM-0225,Firewalls,Palo Alto,Firewalls from Fortinet and Palo Alto,Latest,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,NIST-CSF-2.0,BU-specific,Hybrid,Partial,70.7,Under Review,385868,69,9670,,
TM-0226,FortiSIEM and FortiSOAR,Unknown Vendor,FortiSIEM and FortiSOAR,v2,SOC,"Monitoring, detection, and response control coverage via FortiSIEM and FortiSOAR",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Cloud,Covered,62.5,Under Review,227409,83,23876,,
TM-0227,Deep Security and EPP,Trend Micro,Deep Security and EPP from Trend Micro,Latest,Endpoint,Endpoint protection and workload hardening using Deep Security and EPP,CIS-10,Malware Defenses,CIS-v8.1,Enterprise-wide,Cloud,Partial,63.4,Active,243835,58,4741,,
TM-0228,EPP,Trend Micro,EPP from Trend Micro,Latest,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,NIST-CSF-2.0,BU-specific,Hybrid,Partial,40.2,Active,282225,74,18522,,
TM-0229,XDR,Trend Micro,XDR from Trend Micro,v3,SOC,"Monitoring, detection, and response control coverage via XDR",DE.CM,Security Continuous Monitoring,CIS-v8.1,Enterprise-wide,Production,Covered,54.4,Active,207153,43,4782,,
TM-0230,Enail Security,Proofpoint,Enail Security from Proofpoint,Latest,SOC,"Monitoring, detection, and response control coverage via Enail Security",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Production,Covered,57.3,Active,301040,55,9704,,
TM-0231,FIM,Netwrix,FIM from Netwrix,v3,SOC,"Monitoring, detection, and response control coverage via FIM",DE.CM,Security Continuous Monitoring,CIS-v8.1,HQ + Branches,Production,Partial,70.3,Planned,199424,67,17170,,
TM-0232,Firewalls,Palo Alto,Firewalls from Palo Alto,v2,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,NIST-CSF-2.0,BU-specific,Cloud,Covered,44.2,Active,249102,53,19592,,
TM-0233,WAF and Email Security,Barracuda,WAF and Email Security from Barracuda,v3,Data,Data security and application protection with WAF and Email Security,PR.DS,Data Security,CIS-v8.1,Regional,On-Prem,Partial,47.3,Active,200429,94,8385,,
TM-0234,Web Security,Forcepoint,Web Security from Forcepoint,Latest,SOC,"Monitoring, detection, and response control coverage via Web Security",DE.CM,Security Continuous Monitoring,CIS-v8.1,HQ + Branches,Cloud,Covered,86.9,Active,299996,53,15127,,
TM-0235,SIEM,Elastic,SIEM from Elastic,v2,SOC,"Monitoring, detection, and response control coverage via SIEM",DE.CM,Security Continuous Monitoring,CIS-v8.1,BU-specific,Hybrid,Missing,96,Active,328757,65,14447,,
TM-0236,Security Scoring,Black Kite,Security Scoring from Black Kite,v2,SOC,"Monitoring, detection, and response control coverage via Security Scoring",DE.CM,Security Continuous Monitoring,CIS-v8.1,HQ + Branches,Cloud,Partial,59.8,Active,291261,72,13695,,
TM-0237,"EPP, Firewalls, and Email Security",Check Point,"EPP, Firewalls, and Email Security from Check Point",v1,Endpoint,"Endpoint protection and workload hardening using EPP, Firewalls, and Email Security",CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Hybrid,Covered,53.4,Active,308189,85,10299,,
TM-0238,PAM,Delinea,PAM from Delinea,Latest,Identity,Identity and privileged access controls for PAM,PR.AA,Identity and Access Management,NIST-CSF-2.0,BU-specific,Hybrid,Covered,44.7,Active,169217,63,14996,,
TM-0239,Adaptive MFA,Okta,Adaptive MFA,Latest,Identity,Identity and privileged access governance,PR.AA,Identity and Access Management,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Production,Partial,57.7,Under Review,201760,75,2234,,
TM-0240,Entra ID P2,Microsoft,Entra ID P2,v2,Identity,Identity and privileged access governance,PR.AA,Identity and Access Management,NIST-CSF-2.0;CIS-v8.1,BU-specific,Hybrid,Partial,37.8,Planned,230365,60,18846,,
TM-0241,PAM,CyberArk,PAM,Latest,Identity,Identity and privileged access governance,PR.AA,Privileged Access Management,NIST-CSF-2.0,Enterprise-wide,Production,Covered,67.2,Active,210635,71,11210,,
TM-0242,IdentityIQ,SailPoint,IdentityIQ,Latest,Identity,Identity lifecycle and provisioning,CIS-5,Account Management,CIS-v8.1,Regional,Cloud,Missing,65.4,Active,279831,40,20803,,
TM-0243,PingFederate,Ping Identity,PingFederate,v2,Identity,Identity lifecycle and provisioning,CIS-5,Access Governance,CIS-v8.1,BU-specific,Cloud,Partial,48,Active,189399,62,17455,,
TM-0244,Falcon Insight XDR,CrowdStrike,Falcon Insight XDR,v3,Endpoint,Endpoint detection and response,CIS-10,Malware Defenses,NIST-CSF-2.0,BU-specific,Production,Partial,42.3,Under Review,266808,77,4209,,
TM-0245,Singularity Complete,SentinelOne,Singularity Complete,v2,Endpoint,Endpoint detection and response,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,Regional,Hybrid,Covered,61.9,Active,303056,74,4757,,
TM-0246,Defender for Endpoint,Microsoft,Defender for Endpoint,Latest,Endpoint,Endpoint protection and hardening,PR.PS,Platform Security,CIS-v8.1,Enterprise-wide,Hybrid,Covered,62.1,Active,161980,52,17629,,
TM-0247,VMDR,Qualys,VMDR,v1,Endpoint,Endpoint vulnerability and patch assurance,CIS-7,Continuous Vulnerability Management,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Hybrid,Covered,47.4,Active,272309,65,24152,,
TM-0248,Nessus / Tenable.sc,Tenable,Nessus / Tenable.sc,v3,Endpoint,Endpoint vulnerability and patch assurance,CIS-7,Continuous Vulnerability Management,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,On-Prem,Partial,56.9,Under Review,259401,86,17684,,
TM-0249,NGFW + Panorama,Palo Alto,NGFW + Panorama,v3,Network,Perimeter and east-west threat prevention,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Hybrid,Covered,50,Active,282297,43,9784,,
TM-0250,FortiGate + FortiManager,Fortinet,FortiGate + FortiManager,v2,Network,Perimeter and east-west threat prevention,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,On-Prem,Covered,75,Active,375033,97,13926,,
TM-0251,Quantum Security Gateway,Check Point,Quantum Security Gateway,Latest,Network,Perimeter and east-west threat prevention,CIS-12,Network Infrastructure Management,CIS-v8.1,Regional,Hybrid,Covered,63.4,Active,277432,35,3516,,
TM-0252,ZIA + ZPA,Zscaler,ZIA + ZPA,Latest,Network,Secure access service edge and zero trust,PR.AC,Access Control,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,On-Prem,Partial,61.2,Under Review,321646,40,887,,
TM-0253,SSE,Netskope,SSE,v2,Network,Secure access service edge and zero trust,PR.AC,Access Control,CIS-v8.1,Enterprise-wide,Cloud,Covered,53.2,Under Review,347886,83,12443,,
TM-0254,Enterprise Security,Splunk,Enterprise Security,v1,SOC,Centralized security monitoring and detection,DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Cloud,Partial,86.9,Active,365266,37,18008,,
TM-0255,QRadar SIEM,IBM,QRadar SIEM,v2,SOC,Centralized security monitoring and detection,DE.CM,Security Continuous Monitoring,CIS-v8.1,Enterprise-wide,Hybrid,Covered,98,Active,229693,86,11044,,
TM-0256,Sentinel,Microsoft,Sentinel,v1,SOC,Centralized security monitoring and detection,DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Regional,Cloud,Missing,73.4,Active,306219,84,20360,,
TM-0257,Cortex XSOAR,Palo Alto,Cortex XSOAR,v1,SOC,Automated incident orchestration and response,RS.RP,Incident Response,NIST-CSF-2.0;CIS-v8.1,BU-specific,Cloud,Partial,45.6,Planned,213693,71,23815,,
TM-0258,SOAR Platform,Swimlane,SOAR Platform,v1,SOC,Automated incident orchestration and response,RS.RP,Incident Response,NIST-CSF-2.0,HQ + Branches,Production,Missing,89.6,Active,377698,50,17819,,
TM-0259,Purview DLP,Microsoft,Purview DLP,v2,Data,Data classification and loss prevention,PR.DS,Data Security,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,On-Prem,Covered,74.8,Active,219045,39,19889,,
TM-0260,DLP,Symantec,DLP,v1,Data,Data classification and loss prevention,PR.DS,Data Security,CIS-v8.1,BU-specific,Cloud,Partial,65.7,Active,349391,88,2437,,
TM-0261,DAM + Data Security Fabric,Imperva,DAM + Data Security Fabric,Latest,Data,Database and structured data protection,PR.DS,Data Security,NIST-CSF-2.0;CIS-v8.1,BU-specific,Production,Partial,60.1,Planned,337759,66,8152,,
TM-0262,Advanced WAF,F5,Advanced WAF,v3,Data,Web and API application protection,PR.DS,Application Security,CIS-v8.1,Regional,On-Prem,Partial,91.3,Under Review,132128,74,20937,,
TM-0263,WAF + API Shield,Cloudflare,WAF + API Shield,v1,Data,Web and API application protection,PR.DS,Application Security,NIST-CSF-2.0,Regional,On-Prem,Partial,97.5,Active,382863,92,22067,,
TM-0264,CNAPP,Wiz,CNAPP,v3,Cloud,Cloud security posture and workload security,CIS-4,Secure Configuration,NIST-CSF-2.0,BU-specific,Production,Partial,50.8,Active,418370,45,9980,,
TM-0265,Prisma Cloud,Prisma,Prisma Cloud,v3,Cloud,Cloud security posture and workload security,CIS-4,Secure Configuration,NIST-CSF-2.0;CIS-v8.1,Regional,On-Prem,Partial,79.3,Active,286856,43,5747,,
TM-0266,Cloud Security Platform,Orca,Cloud Security Platform,Latest,Cloud,Cloud security posture and workload security,CIS-4,Secure Configuration,NIST-CSF-2.0,Enterprise-wide,Cloud,Partial,97.3,Active,180709,39,9650,,
TM-0267,Cloud Permissions Firewall,Sonrai,Cloud Permissions Firewall,v1,Cloud,Cloud identity and entitlement governance,CIS-5,Account Management,NIST-CSF-2.0,BU-specific,Cloud,Missing,43.6,Under Review,371972,43,24824,,
TM-0268,CNAPP + Runtime,Aqua,CNAPP + Runtime,v2,Cloud,Kubernetes and container runtime protection,PR.PS,Platform Security,NIST-CSF-2.0,Enterprise-wide,Hybrid,Covered,80.5,Active,186623,60,17201,,
TM-0269,Email Protection,Proofpoint,Email Protection,v2,Email,Email threat prevention and response,CIS-9,Email and Web Browser Protections,NIST-CSF-2.0,Enterprise-wide,Hybrid,Partial,72.1,Active,171553,54,3598,,
TM-0270,Email Security Cloud,Mimecast,Email Security Cloud,v3,Email,Email threat prevention and response,CIS-9,Email and Web Browser Protections,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Hybrid,Partial,72.8,Active,149255,78,21215,,
TM-0271,Defender for Office 365,Microsoft,Defender for Office 365,v3,Email,Email threat prevention and response,CIS-9,Email and Web Browser Protections,NIST-CSF-2.0,Regional,On-Prem,Covered,38.4,Under Review,170515,66,2925,,
TM-0272,Email Protection,Barracuda,Email Protection,Latest,Email,Email threat prevention and response,CIS-9,Email and Web Browser Protections,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Production,Missing,93.8,Active,159158,70,9211,,
TM-0273,PRA,BeyondTrust,PRA from BeyondTrust,v2,Identity,Identity and privileged access controls for PRA,PR.AA,Identity and Access Management,CIS-v8.1,Enterprise-wide,Production,Partial,35.9,Active,280244,94,10021,,
TM-0274,EPP,McAfee,EPP from McAfee,v3,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,On-Prem,Partial,40.2,Active,259083,52,7830,,
TM-0275,SIEM,QRadar,SIEM from QRadar,v2,SOC,"Monitoring, detection, and response control coverage via SIEM",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,BU-specific,On-Prem,Partial,83.1,Active,313942,54,11004,,
TM-0276,Threat Intelligence Platform,Anomali,Threat Intelligence Platform from Anomali,v2,SOC,"Monitoring, detection, and response control coverage via Threat Intelligence Platform",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Regional,Production,Missing,42.3,Active,145738,76,16492,,
TM-0277,Digital Risk Protection,CTM360,Digital Risk Protection from CTM360,v2,SOC,"Monitoring, detection, and response control coverage via Digital Risk Protection",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Enterprise-wide,Hybrid,Partial,45.3,Planned,279579,84,18052,,
TM-0278,DAM,Imperva,DAM from Imperva,v2,Data,Data security and application protection with DAM,PR.DS,Data Security,CIS-v8.1,Regional,Cloud,Partial,42.4,Under Review,208442,62,13153,,
TM-0279,EPP,Carbon Black,EPP from Carbon Black,v3,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,On-Prem,Partial,57.7,Active,247186,58,6467,,
TM-0280,Sandboxing,OPSWAT,Sandboxing from OPSWAT,v1,SOC,"Monitoring, detection, and response control coverage via Sandboxing",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Hybrid,Partial,35.2,Under Review,133514,37,9175,,
TM-0281,Cybersecurity awareness training,OutThink,Cybersecurity awareness training from OutThink,v2,SOC,"Monitoring, detection, and response control coverage via Cybersecurity awareness training",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Enterprise-wide,On-Prem,Covered,50.6,Planned,221501,87,14339,,
TM-0282,Email security,Proofpoint,Email security from Proofpoint,v1,Email,Email threat prevention and response via Email security,CIS-9,Email and Web Browser Protections,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Hybrid,Covered,67.5,Active,103511,90,21666,,
TM-0283,Vulnerability Management,Tenable,Vulnerability Management from Tenable,v3,Data,Data security and application protection with Vulnerability Management,PR.DS,Data Security,CIS-v8.1,Enterprise-wide,On-Prem,Covered,47.6,Active,200232,74,11662,,
TM-0284,GRC,Archer,GRC from Archer,Latest,Data,Data security and application protection with GRC,PR.DS,Data Security,NIST-CSF-2.0,Regional,Hybrid,Covered,60.8,Active,211455,87,21944,,
TM-0285,NDR,Darktrace,NDR from Darktrace,v3,SOC,"Monitoring, detection, and response control coverage via NDR",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,HQ + Branches,Cloud,Covered,68.4,Active,270720,38,24924,,
TM-0286,Web and API Protection,Invicti,Web and API Protection from Invicti,v3,Data,Data security and application protection with Web and API Protection,PR.DS,Data Security,NIST-CSF-2.0,Enterprise-wide,Hybrid,Missing,67.7,Under Review,218337,96,2232,,
TM-0287,IPS,Trend Micro TippingPoint,IPS from Trend Micro TippingPoint,v1,Network,Network boundary and segmentation controls enabled by IPS,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,Regional,On-Prem,Covered,70.8,Active,483798,49,6613,,
TM-0288,Deep Security,Trend Micro,Deep Security from Trend Micro,v3,Endpoint,Endpoint protection and workload hardening using Deep Security,CIS-10,Malware Defenses,CIS-v8.1,BU-specific,Cloud,Partial,49.7,Planned,142939,83,2831,,
TM-0289,Sandbox,Trend Micro,Sandbox from Trend Micro,v1,SOC,"Monitoring, detection, and response control coverage via Sandbox",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,HQ + Branches,On-Prem,Covered,42.6,Active,350316,63,11648,,
TM-0290,Data classification,Boldon James,Data classification from Boldon James,v1,Data,Data security and application protection with Data classification,PR.DS,Data Security,NIST-CSF-2.0,Regional,Cloud,Partial,78.9,Active,340684,55,2389,,
TM-0291,PAM,Arcon,PAM from Arcon,v2,Identity,Identity and privileged access controls for PAM,PR.AA,Identity and Access Management,CIS-v8.1,HQ + Branches,Production,Partial,51.4,Planned,98825,60,11370,,
TM-0292,Algosec,Unknown Vendor,Algosec,v2,SOC,"Monitoring, detection, and response control coverage via Algosec",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,HQ + Branches,Production,Partial,43.8,Active,367486,96,3372,,
TM-0293,SASE,Palo Alto,SASE from Palo Alto,Latest,Network,Network boundary and segmentation controls enabled by SASE,CIS-12,Network Infrastructure Management,CIS-v8.1,Enterprise-wide,Cloud,Missing,39.7,Planned,222432,75,20255,,
TM-0294,Password Policy Enforcer,Netwrix,Password Policy Enforcer from Netwrix,v1,Identity,Identity and privileged access controls for Password Policy Enforcer,PR.AA,Identity and Access Management,CIS-v8.1,Enterprise-wide,Production,Missing,38.2,Planned,180647,80,12463,,
TM-0295,Endpoint issue management,Nexthink,Endpoint issue management from Nexthink,Latest,Endpoint,Endpoint protection and workload hardening using Endpoint issue management,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Hybrid,Covered,92.2,Active,217934,44,15398,,
TM-0296,Device and App Control,DriveLock,Device and App Control from DriveLock,v2,SOC,"Monitoring, detection, and response control coverage via Device and App Control",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,BU-specific,On-Prem,Covered,69.7,Active,210015,43,5082,,
TM-0297,File security,Reversing Labs,File security from Reversing Labs,v2,Data,Data security and application protection with File security,PR.DS,Data Security,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,On-Prem,Partial,57.6,Active,247955,92,12619,,
TM-0298,Firewalls,Check Point,Firewalls from Check Point and Palo Alto,Latest,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,CIS-v8.1,Regional,Production,Covered,48.8,Under Review,420481,38,24789,,
TM-0299,Firewalls,Palo Alto,Firewalls from Check Point and Palo Alto,v3,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,Regional,Hybrid,Covered,76.4,Active,433353,92,1511,,
TM-0300,NPM,SolarWinds,NPM from SolarWinds,v2,Network,Network boundary and segmentation controls enabled by NPM,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Cloud,Missing,97.5,Active,235663,55,18484,,
TM-0301,Network Packet Broker,Gigamon,Network Packet Broker from Gigamon,v3,Network,Network boundary and segmentation controls enabled by Network Packet Broker,CIS-12,Network Infrastructure Management,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Cloud,Missing,70.5,Active,219187,97,22054,,
TM-0302,Patch Management,Qualys,Patch Management from Qualys,Latest,Endpoint,Endpoint protection and workload hardening using Patch Management,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,BU-specific,Hybrid,Partial,40.7,Active,162951,68,137,,
TM-0303,MFT,GoAnywhere,MFT from GoAnywhere,v2,Data,Data security and application protection with MFT,PR.DS,Data Security,NIST-CSF-2.0,BU-specific,Hybrid,Missing,88.2,Active,125785,71,22940,,
TM-0304,WAF,Barracuda,WAF from Barracuda,v1,Data,Data security and application protection with WAF,PR.DS,Data Security,NIST-CSF-2.0;CIS-v8.1,BU-specific,Production,Covered,94.3,Active,146672,54,3514,,
TM-0305,API Security,Symantec,API Security from Symantec,v2,Data,Data security and application protection with API Security,PR.DS,Data Security,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,On-Prem,Partial,46,Planned,303099,93,19700,,
TM-0306,Data Classification,Fortra,Data Classification from Fortra,v2,Data,Data security and application protection with Data Classification,PR.DS,Data Security,NIST-CSF-2.0;CIS-v8.1,Regional,On-Prem,Covered,78.4,Active,312411,94,23723,,
TM-0307,PGP,Symantec,PGP from Symantec,Latest,SOC,"Monitoring, detection, and response control coverage via PGP",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,Enterprise-wide,Hybrid,Partial,93,Planned,193176,70,23424,,
TM-0308,Email Gateway,OPSWAT,Email Gateway from OPSWAT,v2,Email,Email threat prevention and response via Email Gateway,CIS-9,Email and Web Browser Protections,CIS-v8.1,Enterprise-wide,Hybrid,Covered,55.1,Active,171532,86,16790,,
TM-0309,Firewalls,Check Point,Firewalls from Check Point,v3,Network,Network boundary and segmentation controls enabled by Firewalls,CIS-12,Network Infrastructure Management,CIS-v8.1,Enterprise-wide,Cloud,Covered,78.7,Active,423373,80,1317,,
TM-0310,DLP,Forcepoint,DLP from Forcepoint,Latest,SOC,"Monitoring, detection, and response control coverage via DLP",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Hybrid,Missing,66.1,Active,286162,41,12049,,
TM-0311,EPM and PRA,BeyondTrust,EPM and PRA from BeyondTrust,v2,Identity,Identity and privileged access controls for EPM and PRA,PR.AA,Identity and Access Management,NIST-CSF-2.0,HQ + Branches,Production,Partial,37.1,Active,145639,41,8624,,
TM-0312,EPP,ESET,EPP from ESET,Latest,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,NIST-CSF-2.0,Enterprise-wide,Production,Covered,97.1,Under Review,280490,62,16382,,
TM-0313,DAM and DSF,Imperva,DAM and DSF from Imperva,Latest,Data,Data security and application protection with DAM and DSF,PR.DS,Data Security,NIST-CSF-2.0,Enterprise-wide,Production,Covered,96.4,Active,266285,93,13558,,
TM-0314,CLM,Keyfactor,CLM from Keyfactor,v3,SOC,"Monitoring, detection, and response control coverage via CLM",DE.CM,Security Continuous Monitoring,CIS-v8.1,Regional,Production,Covered,71,Under Review,173926,57,10758,,
TM-0315,DNS Security,Cloudflare,DNS Security from Cloudflare,v3,SOC,"Monitoring, detection, and response control coverage via DNS Security",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Hybrid,Covered,48,Active,409438,64,2993,,
TM-0316,DevSecOps,Checkmarx,DevSecOps from Checkmarx,Latest,SOC,"Monitoring, detection, and response control coverage via DevSecOps",DE.CM,Security Continuous Monitoring,CIS-v8.1,HQ + Branches,Cloud,Covered,69.3,Active,383250,58,11210,,
TM-0317,User Authentication and Authorization,RSA,User Authentication and Authorization from RSA,v3,SOC,"Monitoring, detection, and response control coverage via User Authentication and Authorization",DE.CM,Security Continuous Monitoring,CIS-v8.1,HQ + Branches,Cloud,Covered,51.9,Active,345139,77,2252,,
TM-0318,EPP,Ivanti,EPP from Ivanti,v3,Endpoint,Endpoint protection and workload hardening using EPP,CIS-10,Malware Defenses,NIST-CSF-2.0;CIS-v8.1,HQ + Branches,Hybrid,Partial,88,Under Review,211308,68,21688,,
TM-0319,PAM,BeyondTrust,PAM from BeyondTrust,Latest,Identity,Identity and privileged access controls for PAM,PR.AA,Identity and Access Management,NIST-CSF-2.0;CIS-v8.1,Regional,On-Prem,Covered,59.9,Under Review,99567,70,12978,,
TM-0320,Application Security,Burp Suite,Application Security from Burp Suite,v2,SOC,"Monitoring, detection, and response control coverage via Application Security",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,HQ + Branches,Hybrid,Missing,45.5,Active,185119,37,2069,,
TM-0321,MDM,MobileIron,MDM from MobileIron,Latest,SOC,"Monitoring, detection, and response control coverage via MDM",DE.CM,Security Continuous Monitoring,NIST-CSF-2.0,Regional,Cloud,Covered,80.8,Under Review,154889,70,13855,,
